Overall,Overall.1,Overall.2,Overall.3,Overall.4,Overall.5,Conf.,Conf..1,Home,Home.1,Away,Away.1,Points,Points.1,School Advanced,School Advanced.1,School Advanced.2,School Advanced.3,School Advanced.4,School Advanced.5,School Advanced.6,School Advanced.7,School Advanced.8,School Advanced.9,School Advanced.10,School Advanced.11,School Advanced.12,Year
37,28,9,.757,24.45,9.67,12,6,16,2,6,4,3014,2467,71.4,112.2,.389,.325,.545,52.1,57.3,13.8,14.2,.513,14.1,37.7,.266,2017.0
32,9,23,.281,-15.30,-0.70,4,14,6,8,3,13,1965,2347,69.4,88.4,.286,.321,.469,50.5,50.5,8.9,7.3,.440,19.8,32.4,.187,2017.0
28,8,20,.286,-11.00,-2.38,5,11,5,8,3,11,2012,2151,70.7,99.4,.291,.400,.541,47.9,52.7,6.4,10.8,.513,16.2,19.4,.206,2017.0
32,15,17,.469,-5.80,-2.89,9,9,11,3,4,12,2209,2302,67.5,102.3,.372,.343,.531,50.3,51.1,6.6,9.0,.500,15.7,27.2,.250,2017.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2017.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2017.0
32,16,16,.500,-0.78,-0.55,11,7,13,2,3,9,2417,2408,70.7,106.4,.358,.294,.539,52.0,48.0,8.1,8.0,.505,15.1,31.8,.252,2017.0
36,31,5,.861,21.24,2.96,17,1,16,1,9,1,2916,2246,69.4,116.7,.401,.364,.579,56.1,59.1,9.4,11.4,.543,13.9,34.3,.294,2017.0
31,17,14,.548,-0.14,-0.73,10,8,13,1,3,12,2534,2411,71.8,112.9,.381,.409,.593,51.0,61.2,7.4,13.5,.569,15.4,26.3,.264,2017.0
33,26,7,.788,1.34,-6.12,15,3,13,3,12,3,2615,2322,71.5,108.3,.370,.429,.568,50.3,47.5,8.9,13.1,.535,15.7,27.1,.266,2017.0
37,27,10,.730,19.40,9.40,12,6,15,2,5,5,2678,2308,64.5,110.7,.329,.369,.542,54.7,51.9,10.3,9.8,.521,14.3,35.7,.212,2017.0
33,16,17,.485,-0.71,-1.08,10,8,11,2,4,10,2593,2479,68.2,112.6,.321,.400,.584,50.3,61.3,8.0,5.7,.548,15.4,29.0,.250,2017.0
32,20,12,.625,-1.02,-2.42,11,7,12,4,8,7,2465,2317,71.6,106.8,.393,.412,.571,51.8,57.8,7.8,6.8,.527,18.0,29.8,.300,2017.0
38,23,15,.605,2.83,0.55,8,10,19,3,3,10,2961,2833,74.0,103.6,.375,.466,.555,49.2,56.9,6.8,11.1,.517,15.8,22.9,.274,2017.0
38,24,14,.632,14.80,11.51,9,9,12,4,4,8,2836,2711,68.2,109.1,.411,.361,.552,54.4,57.1,8.8,7.7,.519,15.7,34.5,.283,2017.0
29,18,11,.621,0.21,-2.19,9,5,10,3,7,7,2151,2028,68.2,108.2,.336,.354,.564,52.4,58.8,8.2,11.5,.531,16.5,31.4,.246,2017.0
34,13,21,.382,-9.75,-2.56,5,13,7,7,3,12,2616,2801,73.7,102.1,.270,.336,.520,47.4,52.3,7.3,7.5,.496,13.9,26.5,.181,2017.0
32,16,16,.500,-9.14,-6.82,8,10,9,6,6,9,2359,2279,71.5,102.3,.309,.350,.549,49.7,55.4,11.3,11.6,.521,17.7,28.0,.217,2018.0
31,12,19,.387,-4.31,1.72,6,12,9,7,3,10,2124,2244,67.7,100.8,.318,.431,.527,48.7,60.7,9.5,8.1,.490,16.3,27.5,.233,2018.0
32,14,18,.438,-6.82,-1.92,6,12,12,4,2,10,2296,2411,69.0,102.7,.319,.467,.547,49.2,52.7,8.5,7.5,.518,17.3,27.5,.222,2018.0
36,20,16,.556,12.34,10.64,8,10,12,4,2,8,2604,2543,70.2,103.0,.419,.355,.550,50.3,50.3,9.0,14.7,.519,17.8,29.4,.281,2018.0
31,3,28,.097,-23.97,-8.04,3,15,2,9,1,18,1873,2367,68.2,88.2,.314,.354,.480,48.2,50.5,5.8,3.9,.450,20.9,29.9,.203,2018.0
31,8,23,.258,-18.56,-8.62,8,10,4,8,4,13,2129,2437,70.5,97.0,.352,.347,.496,47.9,41.7,7.7,11.2,.465,16.9,31.9,.227,2018.0
32,22,10,.688,0.02,-5.40,10,6,14,3,8,7,2375,2182,67.3,110.3,.370,.273,.550,55.2,48.3,7.0,7.9,.507,14.7,34.9,.279,2018.0
32,11,21,.344,-18.07,-8.60,7,11,9,5,2,16,2244,2388,70.4,99.2,.328,.382,.532,48.4,53.0,8.8,7.7,.499,17.9,27.2,.232,2018.0
30,6,24,.200,-14.63,-6.16,3,15,4,8,2,16,1961,2215,67.3,96.7,.304,.439,.531,45.1,52.6,10.7,9.1,.506,18.3,23.7,.202,2018.0
33,15,18,.455,-4.83,-2.67,9,9,9,4,4,11,2520,2448,72.0,104.6,.378,.433,.539,52.3,47.6,8.2,8.9,.509,16.3,30.8,.252,2018.0
35,27,8,.771,15.67,6.84,14,4,15,1,8,3,2818,2509,68.6,115.6,.370,.321,.598,55.6,52.6,7.1,12.0,.563,15.3,33.3,.281,2018.0
32,20,12,.625,14.37,6.55,8,10,13,4,4,6,2645,2395,72.2,113.5,.413,.413,.576,49.0,51.6,9.0,9.9,.538,13.0,27.9,.303,2018.0
35,23,12,.657,14.76,9.85,10,8,15,2,3,7,2819,2647,71.3,111.8,.374,.321,.565,48.9,49.9,8.6,13.8,.538,13.2,28.7,.255,2018.0
32,11,21,.344,-9.65,-3.02,6,12,7,7,4,13,2369,2523,70.4,104.3,.329,.364,.536,48.6,40.9,9.5,7.9,.502,15.9,30.6,.236,2018.0
35,14,21,.400,-14.84,-9.36,12,6,7,3,6,13,2307,2499,68.4,95.7,.366,.354,.528,43.6,52.4,11.4,11.7,.496,18.6,24.0,.247,2018.0
30,13,17,.433,-8.62,-7.17,6,12,6,5,4,12,2230,2223,71.7,103.3,.243,.418,.542,49.6,61.1,7.9,8.2,.524,16.4,27.1,.160,2018.0
34,26,8,.765,15.97,7.29,13,5,15,1,7,4,2783,2488,73.4,111.5,.398,.432,.557,51.7,53.1,10.1,15.2,.508,14.1,32.0,.308,2018.0
34,19,15,.559,-3.28,-2.50,12,6,13,5,5,9,2512,2446,70.1,104.7,.366,.294,.532,52.2,49.5,9.4,8.9,.505,16.8,35.7,.239,2018.0
32,19,13,.594,-1.22,-2.00,10,8,14,2,5,10,2410,2362,71.1,104.7,.339,.384,.548,51.1,52.9,7.4,8.9,.516,16.1,27.9,.239,2018.0
34,19,15,.559,14.60,9.17,8,10,15,5,2,9,2571,2369,68.5,109.1,.319,.303,.556,54.2,54.8,7.9,12.2,.523,16.7,35.6,.234,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
33,24,9,.727,5.54,-2.88,15,3,14,2,9,6,2562,2284,68.5,113.3,.279,.542,.610,51.5,58.7,7.1,6.5,.588,16.3,25.2,.206,2018.0
32,18,14,.563,-12.19,-12.46,12,4,10,3,8,10,2621,2543,77.7,104.6,.402,.372,.540,52.1,55.5,8.1,8.9,.502,17.3,33.5,.282,2018.0
31,11,20,.355,-10.27,-6.34,2,14,7,7,3,12,2147,2181,67.9,101.6,.297,.378,.530,49.6,47.8,8.0,11.6,.510,15.8,26.0,.190,2018.0
32,23,9,.719,11.21,3.05,13,5,15,1,6,6,2502,2210,70.7,108.9,.313,.425,.572,55.9,48.6,8.0,5.9,.542,16.5,29.4,.231,2018.0
35,19,16,.543,9.00,7.20,7,11,14,3,2,11,2673,2610,70.1,107.7,.307,.395,.554,51.6,51.9,7.1,8.8,.521,15.5,29.6,.228,2018.0
31,15,16,.484,-8.33,-5.83,10,8,6,7,9,9,2186,2226,68.7,102.6,.323,.355,.548,50.1,52.5,10.7,9.8,.529,17.6,29.0,.206,2018.0
32,16,16,.500,-6.38,-2.88,7,11,9,6,6,9,2429,2490,71.9,103.6,.372,.352,.526,51.2,51.4,8.1,6.6,.483,15.0,30.0,.272,2018.0
33,20,13,.606,2.07,0.35,9,9,13,2,4,9,2223,2136,66.3,101.7,.372,.343,.528,51.8,58.2,9.8,12.9,.490,17.3,31.9,.263,2018.0
35,24,11,.686,8.05,1.53,11,7,13,3,7,6,2600,2372,67.9,108.2,.376,.341,.579,51.0,58.0,9.3,11.0,.541,15.2,22.4,.282,2018.0
27,11,16,.407,-7.78,-4.67,4,10,8,5,3,11,2080,2133,72.7,104.0,.409,.361,.534,50.7,48.6,8.7,8.1,.483,15.7,30.3,.309,2018.0
31,3,28,.097,-18.75,-5.42,2,16,1,11,2,17,2169,2582,71.0,98.2,.278,.401,.509,44.7,54.1,8.6,3.9,.479,15.9,26.1,.196,2018.0
35,25,10,.714,4.49,-3.46,16,2,15,1,10,8,2837,2559,72.4,110.3,.425,.392,.576,50.8,52.3,7.5,10.4,.539,15.1,27.0,.306,2018.0
36,27,9,.750,7.99,0.25,15,3,14,1,8,5,3047,2742,73.9,113.4,.298,.406,.572,51.4,54.0,8.4,10.1,.549,14.3,31.8,.208,2018.0
35,21,14,.600,16.92,10.55,9,9,14,3,3,7,2763,2540,69.6,111.0,.261,.374,.570,51.3,47.9,9.3,8.2,.540,13.9,27.4,.202,2018.0
31,9,22,.290,-11.56,-1.83,4,12,7,6,1,13,2082,2302,66.6,98.4,.263,.411,.509,47.5,51.6,7.3,10.2,.470,15.2,25.8,.205,2018.0
30,12,18,.400,-6.58,-0.73,5,9,8,4,3,12,1981,2068,67.4,97.9,.346,.367,.509,51.4,55.5,9.0,9.6,.473,17.6,32.3,.241,2018.0
32,20,12,.625,-0.93,-1.03,10,6,9,4,7,7,2318,2245,69.9,102.8,.433,.291,.559,51.1,50.1,8.9,8.6,.516,18.0,27.1,.316,2018.0
30,6,24,.200,-13.50,-3.53,3,13,4,9,2,13,1983,2206,66.5,98.2,.280,.304,.518,46.0,50.1,7.4,6.3,.488,16.0,24.0,.198,2018.0
32,8,24,.250,-3.40,6.05,2,16,5,12,3,8,2166,2483,70.6,95.6,.380,.275,.486,50.5,40.8,9.7,14.0,.446,17.4,34.7,.256,2018.0
34,18,16,.529,-5.68,-6.68,10,8,14,4,4,11,2581,2412,68.6,109.8,.347,.432,.593,48.5,54.1,9.7,11.1,.561,15.6,21.5,.260,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
33,21,12,.636,0.44,-4.80,15,3,11,3,8,8,2519,2346,69.9,108.8,.299,.450,.568,49.5,61.4,10.0,8.1,.542,16.2,29.9,.213,2018.0
35,18,17,.514,-5.83,-5.97,10,8,9,5,8,11,2819,2766,74.3,106.4,.361,.372,.557,47.5,57.8,8.8,12.1,.519,15.9,27.2,.265,2018.0
32,14,18,.438,-11.62,-7.59,7,11,8,4,6,14,2171,2300,66.3,100.3,.326,.345,.540,52.3,50.4,7.4,9.7,.510,19.1,31.1,.228,2018.0
36,21,15,.583,-1.39,-3.24,7,11,12,5,6,9,2835,2661,69.1,112.0,.325,.474,.561,50.7,51.6,9.0,9.4,.517,14.2,31.4,.262,2018.0
31,15,16,.484,-8.16,-6.16,9,9,9,6,6,10,2232,2133,67.5,105.0,.324,.352,.539,51.2,45.9,10.5,11.8,.505,16.5,31.6,.234,2018.0
29,6,23,.207,-10.13,0.27,2,16,4,11,2,12,2066,2317,72.2,98.2,.390,.345,.533,48.7,45.2,7.8,5.7,.493,18.1,26.3,.279,2018.0
33,10,23,.303,-11.09,-4.05,3,15,8,8,1,14,2289,2424,67.4,101.0,.347,.430,.545,49.2,53.7,7.3,5.6,.511,18.0,27.2,.247,2018.0
32,3,29,.094,-21.53,1.17,1,13,3,8,0,19,2171,2756,74.0,91.7,.330,.289,.494,45.5,47.4,9.8,7.0,.452,18.0,26.7,.239,2018.0
36,31,5,.861,20.25,3.53,16,2,15,1,9,2,2673,2071,66.1,112.3,.360,.353,.543,55.6,60.4,10.8,15.8,.512,14.1,38.5,.249,2018.0
35,25,10,.714,17.16,9.25,11,7,15,1,4,6,2584,2307,67.5,108.5,.335,.399,.566,51.7,51.5,8.3,13.3,.529,15.3,27.1,.253,2018.0
35,12,23,.343,-10.82,-3.64,6,12,7,7,2,15,2402,2613,69.2,98.5,.291,.439,.537,44.3,53.5,9.5,7.3,.509,17.0,22.2,.205,2018.0
32,14,18,.438,-3.94,-2.42,8,10,7,9,5,7,2298,2241,69.0,103.3,.387,.364,.535,54.2,53.1,7.7,11.5,.494,18.2,34.5,.279,2018.0
33,19,14,.576,-4.85,-5.72,12,6,13,3,6,11,2394,2315,67.5,107.5,.291,.451,.554,49.0,51.4,9.0,10.0,.518,14.4,26.2,.225,2018.0
34,26,8,.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,65.9,111.1,.367,.378,.567,49.6,44.2,7.8,9.8,.527,13.2,25.7,.277,2018.0
32,17,15,.531,6.06,7.00,8,10,12,3,1,10,2307,2337,69.5,102.5,.333,.365,.542,52.4,50.5,6.2,10.5,.506,17.5,29.4,.243,2018.0
32,11,21,.344,-3.86,3.79,4,14,8,8,3,10,2314,2537,71.4,100.0,.335,.352,.514,50.7,50.4,8.2,9.5,.476,15.9,30.7,.241,2018.0
27,8,19,.296,-5.63,-3.02,5,9,7,5,1,14,2062,2085,71.0,106.6,.241,.435,.549,49.0,51.5,9.2,10.4,.522,15.2,27.6,.179,2018.0
32,14,18,.438,1.08,6.05,7,11,11,5,2,9,2181,2340,67.1,99.9,.324,.360,.516,48.2,43.8,8.7,11.2,.475,16.0,29.4,.241,2018.0
32,5,27,.156,-20.96,-7.24,5,11,4,6,1,20,1945,2384,69.1,86.3,.272,.476,.472,44.8,51.4,7.6,7.0,.433,18.3,22.3,.201,2018.0
28,12,16,.429,-8.80,-3.24,6,8,8,4,4,11,2124,2250,70.7,104.5,.356,.396,.563,48.0,60.3,7.1,8.7,.529,16.6,24.2,.260,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
33,21,12,.636,16.35,8.10,10,8,16,2,4,7,2756,2444,72.8,113.8,.259,.450,.599,51.0,58.3,7.7,6.7,.575,13.9,22.5,.194,2018.0
27,7,20,.259,-10.31,-4.00,3,11,6,6,1,14,1841,1970,67.8,100.2,.327,.383,.548,48.5,55.1,8.3,9.3,.517,17.9,23.7,.233,2018.0
33,21,12,.636,11.02,2.57,13,5,11,1,6,8,2519,2240,65.3,115.7,.246,.484,.602,50.8,61.3,7.1,6.1,.574,13.1,22.6,.196,2018.0
31,14,17,.452,1.64,2.71,8,10,12,4,1,10,2244,2277,67.0,106.4,.318,.440,.583,49.7,60.7,7.7,7.3,.555,18.1,25.5,.232,2018.0
33,14,19,.424,-6.93,-2.96,6,12,7,8,4,10,2338,2428,67.0,105.0,.349,.311,.533,50.2,44.9,7.4,6.4,.508,13.9,27.2,.228,2018.0
32,4,28,.125,-24.57,-9.30,2,14,4,9,0,18,2034,2458,66.9,93.6,.290,.332,.502,48.2,46.9,8.7,8.2,.471,19.4,30.4,.201,2018.0
30,15,15,.500,-5.21,-2.53,8,6,10,4,3,9,2192,2189,68.7,104.6,.318,.310,.560,54.4,56.3,6.2,7.4,.535,18.7,31.4,.221,2018.0
31,11,20,.355,6.55,8.45,4,14,6,10,4,7,2230,2289,71.2,100.6,.294,.327,.512,51.7,56.8,9.0,9.2,.479,16.5,32.9,.208,2018.0
32,8,24,.250,-12.47,-2.07,4,14,5,11,2,11,2516,2743,75.4,103.9,.306,.401,.541,47.5,49.5,8.8,7.1,.504,15.8,27.8,.231,2018.0
34,17,17,.500,-0.51,0.58,10,8,11,3,4,11,2506,2495,69.3,104.1,.325,.403,.551,48.4,58.5,8.5,6.7,.510,15.3,23.4,.250,2018.0
33,13,20,.394,-7.20,-2.48,6,12,9,5,2,11,2454,2591,70.1,104.4,.324,.351,.533,49.9,43.2,7.5,10.0,.498,15.1,30.7,.234,2018.0
37,29,8,.784,24.43,9.70,13,5,15,1,6,5,3121,2576,70.6,118.6,.346,.363,.586,55.5,57.6,10.5,12.4,.559,14.7,38.8,.246,2018.0
32,16,16,.500,-1.08,-3.33,7,11,13,6,2,7,2317,2245,66.5,106.4,.354,.398,.529,51.2,47.7,8.5,11.7,.497,14.9,33.0,.242,2018.0
30,10,20,.333,-8.72,-0.22,4,14,8,11,2,8,1993,2248,68.8,95.3,.287,.346,.509,47.9,52.4,7.1,7.9,.483,18.0,27.8,.191,2018.0
34,25,9,.735,3.72,-4.09,14,4,12,4,11,4,2556,2241,69.7,107.9,.331,.363,.564,52.9,54.0,11.2,12.7,.536,16.7,31.2,.235,2018.0
31,12,19,.387,-8.33,-3.40,7,11,7,6,4,12,2065,2120,66.4,99.9,.319,.363,.519,49.9,53.6,8.8,13.1,.489,17.3,30.3,.218,2018.0
31,11,20,.355,-10.57,-3.68,5,13,6,7,5,12,2230,2371,69.8,102.6,.337,.359,.540,48.0,52.1,8.9,9.9,.501,16.3,27.6,.252,2018.0
35,22,13,.629,-0.23,-2.81,11,7,14,3,7,9,2509,2339,67.5,105.0,.298,.347,.547,49.7,48.2,12.7,18.6,.522,16.3,30.0,.203,2018.0
35,20,15,.571,-0.03,-1.54,13,5,11,1,6,12,2619,2520,69.2,107.4,.284,.411,.572,49.6,47.0,7.6,8.1,.541,14.9,22.4,.217,2018.0
32,14,18,.438,-6.89,-1.69,6,12,8,5,4,12,2346,2437,68.0,104.5,.239,.504,.550,48.2,60.2,6.2,5.8,.527,14.9,22.6,.170,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
32,17,15,.531,0.68,1.35,7,11,15,3,2,10,2094,2045,65.7,99.1,.350,.271,.543,50.8,57.0,9.0,9.5,.498,18.3,24.8,.271,2018.0
33,17,16,.515,-4.98,-3.68,9,9,10,3,3,10,2506,2549,72.1,103.3,.309,.444,.544,48.3,55.3,8.7,7.6,.514,15.4,24.4,.220,2018.0
31,13,18,.419,-10.41,-5.66,9,9,8,5,5,13,2313,2350,71.8,103.9,.307,.334,.540,48.3,49.4,9.9,8.7,.508,16.6,30.8,.223,2018.0
34,21,13,.618,16.66,10.08,11,7,12,5,5,4,2577,2353,68.4,109.6,.326,.403,.540,48.5,49.8,10.1,12.7,.507,12.3,28.7,.234,2018.0
34,9,25,.265,-19.21,-8.33,7,9,6,4,2,20,2343,2684,69.5,97.4,.324,.311,.513,45.2,44.5,8.1,7.8,.474,17.1,27.8,.234,2018.0
31,12,19,.387,-5.35,-0.14,6,12,7,7,4,10,2155,2172,70.9,97.7,.278,.286,.493,50.6,47.6,8.2,10.0,.456,15.3,29.2,.205,2018.0
35,23,12,.657,1.94,-5.44,12,2,14,6,9,6,2847,2515,73.3,110.9,.321,.330,.583,53.8,51.2,10.0,7.6,.554,16.8,31.7,.238,2018.0
32,14,18,.438,-4.30,-1.99,8,10,11,7,3,9,2262,2278,69.8,98.9,.368,.331,.503,47.8,46.4,10.6,9.0,.479,13.6,25.4,.224,2018.0
35,23,12,.657,15.78,8.50,9,9,13,2,4,7,2806,2551,72.2,109.5,.370,.368,.562,51.8,52.6,9.4,14.0,.532,15.4,32.0,.256,2018.0
31,9,22,.290,-6.74,1.26,4,14,8,9,1,10,1931,2179,66.8,92.5,.269,.468,.510,42.6,60.5,13.6,6.4,.479,16.9,18.8,.190,2018.0
32,21,11,.656,8.17,1.84,11,7,12,5,8,5,2459,2201,68.5,110.9,.378,.304,.578,51.9,46.9,9.8,9.3,.550,15.3,28.2,.262,2018.0
33,23,10,.697,4.43,-3.64,13,5,13,3,7,6,2619,2260,70.5,112.1,.278,.474,.577,50.1,55.8,11.3,6.0,.554,14.4,27.6,.198,2018.0
32,14,18,.438,-9.70,-3.81,9,9,11,2,3,13,2258,2307,69.1,100.6,.284,.365,.538,50.7,50.5,8.7,8.5,.508,17.2,26.9,.204,2018.0
33,16,17,.485,-2.97,0.85,9,9,10,7,5,7,2371,2497,69.6,101.4,.318,.362,.529,50.8,44.9,8.5,8.0,.491,15.9,27.9,.236,2018.0
33,15,18,.455,-0.72,2.13,7,11,13,5,1,10,2225,2319,66.3,101.8,.289,.301,.526,50.8,52.9,8.6,13.1,.495,16.5,31.7,.205,2018.0
30,15,15,.500,7.16,5.29,5,13,11,8,4,6,2350,2294,71.6,106.2,.383,.351,.564,53.3,65.3,7.4,9.8,.518,18.0,31.2,.297,2018.0
33,18,15,.545,10.24,8.87,7,11,11,4,4,9,2247,2202,65.3,102.7,.401,.346,.517,53.6,52.4,5.8,12.7,.475,16.2,34.8,.281,2018.0
33,21,12,.636,-0.54,-3.28,11,7,10,3,8,7,2504,2315,70.5,107.2,.396,.394,.529,49.5,38.9,9.7,10.4,.497,13.6,31.1,.263,2018.0
35,24,11,.686,3.22,-2.78,12,6,11,3,9,6,2614,2356,67.9,108.8,.303,.413,.562,47.7,48.6,10.7,15.1,.540,14.5,26.0,.205,2018.0
32,13,19,.406,5.25,7.46,6,12,12,7,1,10,2101,2172,66.5,98.3,.348,.277,.509,50.0,54.3,10.3,14.3,.469,16.6,30.8,.248,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
37,32,5,.865,18.44,2.60,17,1,15,1,10,1,3091,2505,69.7,118.2,.321,.394,.593,56.0,50.1,8.9,9.6,.570,13.9,32.9,.227,2018.0
31,17,14,.548,-12.97,-10.30,13,5,6,4,11,10,2257,2321,73.8,97.8,.415,.254,.509,50.7,44.0,10.4,9.7,.461,17.7,32.0,.295,2018.0
34,22,12,.647,3.78,-4.80,9,5,16,3,3,7,2512,2213,70.3,104.3,.394,.391,.531,51.4,63.2,8.8,10.1,.492,16.0,31.5,.277,2018.0
33,13,20,.394,-8.51,-4.08,7,11,10,6,2,13,2517,2499,74.1,102.1,.331,.401,.537,48.7,53.4,9.2,7.8,.497,16.2,26.3,.249,2018.0
34,18,16,.529,-9.37,-9.56,11,4,11,3,5,11,2703,2603,75.0,105.2,.335,.289,.537,50.9,53.4,7.1,8.9,.492,14.9,29.6,.260,2018.0
33,19,14,.576,-5.54,-5.26,11,5,9,7,9,6,2326,2318,67.7,103.8,.309,.426,.551,48.9,51.9,8.9,11.2,.527,16.0,25.2,.210,2018.0
32,18,14,.563,-0.28,-1.70,12,2,10,2,6,11,2182,2129,66.5,100.6,.288,.411,.541,52.0,53.1,8.0,11.4,.503,18.1,26.7,.224,2018.0
30,17,13,.567,-2.33,-2.51,8,8,13,7,4,5,2104,2071,68.9,100.5,.411,.376,.540,50.8,59.4,8.1,5.7,.504,17.1,26.6,.282,2018.0
30,14,16,.467,-6.75,-6.38,9,9,11,4,3,11,2126,1993,67.1,105.2,.348,.270,.540,51.6,45.5,11.0,8.5,.507,16.0,31.9,.244,2018.0
31,19,12,.613,-0.53,-1.60,12,6,9,4,9,4,2464,2397,70.3,112.6,.367,.371,.562,51.4,47.6,7.1,7.0,.534,13.2,31.0,.251,2018.0
31,12,19,.387,-9.92,-5.82,8,10,6,7,6,10,1972,2099,63.7,99.1,.296,.397,.551,45.0,58.1,9.7,11.4,.526,17.6,19.3,.205,2018.0
35,27,8,.771,15.99,4.16,14,4,15,0,6,5,2685,2271,68.5,112.0,.326,.372,.563,54.6,53.0,9.1,9.0,.533,14.9,33.6,.234,2018.0
31,6,25,.194,-16.14,-3.97,2,16,5,8,1,16,2382,2617,75.5,100.9,.345,.329,.497,50.9,50.2,8.7,7.5,.471,15.5,35.6,.215,2018.0
33,10,23,.303,-17.26,-9.74,7,9,7,4,2,18,2449,2654,71.3,102.2,.345,.387,.527,46.8,48.1,7.4,7.3,.491,16.0,29.5,.244,2018.0
31,22,9,.710,0.82,-3.94,14,4,11,2,9,4,2330,2134,68.0,110.1,.323,.388,.577,54.8,56.0,6.4,7.8,.547,16.9,31.4,.237,2018.0
30,14,16,.467,-5.76,-3.69,9,9,9,5,5,10,2211,2232,70.8,104.1,.362,.389,.575,48.0,45.5,8.0,6.1,.552,17.5,21.3,.246,2018.0
32,14,18,.438,8.50,7.53,4,14,12,6,1,10,2426,2362,70.8,105.8,.335,.362,.537,49.8,51.6,10.5,6.3,.500,15.8,34.1,.245,2018.0
33,18,15,.545,1.07,3.67,10,8,11,3,3,10,2364,2418,69.3,101.0,.334,.461,.532,47.6,57.6,9.2,11.2,.503,16.5,25.9,.228,2018.0
36,20,16,.556,-2.91,-4.21,12,6,11,7,9,8,2708,2597,73.6,101.9,.363,.330,.546,50.9,47.4,9.2,16.1,.507,18.0,28.8,.267,2018.0
28,7,21,.250,-17.71,-5.04,2,16,6,9,1,12,1978,2163,72.5,97.4,.402,.315,.530,47.6,46.3,8.3,12.3,.481,19.2,28.3,.300,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
31,16,15,.516,9.89,8.25,9,9,12,6,3,8,2229,2178,67.5,105.2,.364,.341,.538,51.0,54.0,9.4,12.1,.511,15.7,31.8,.239,2018.0
31,13,18,.419,1.53,2.43,8,10,8,7,5,7,2248,2253,70.1,100.6,.357,.415,.533,51.1,47.2,10.4,9.7,.498,17.4,28.2,.252,2018.0
